FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
28/05/2021;ARGANZUELA;CL JUAN DUQUE 28;PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
28/05/2021;ARGANZUELA;CL JUAN DUQUE 28;PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
29/06/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
29/06/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;472905 - COMERCIO AL POR MENOR DE CONGELADOS;COMERCIO MINORISTA ALIMENTACIÓN
29/06/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
29/06/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
29/06/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
07/07/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
07/07/2021;ARGANZUELA;CL JUAN DUQUE 28;NO PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
09/09/2021;ARGANZUELA;CL JUAN DUQUE 20;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
07/09/2021;ARGANZUELA;CL JUAN DUQUE 34;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
27/08/2021;ARGANZUELA;CL GIL IMON 10;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
28/01/2021;ARGANZUELA;CL EMBAJADORES 74;NO PROGRAMADA;472204 - COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA;COMERCIO MINORISTA ALIMENTACIÓN
28/01/2021;ARGANZUELA;CL EMBAJADORES 74;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
28/01/2021;ARGANZUELA;CL EMBAJADORES 74;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
18/03/2021;ARGANZUELA;CL TOMAS BORRAS 11;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/05/2021;ARGANZUELA;CL TOMAS BORRAS 11;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
26/05/2021;ARGANZUELA;CL TOMAS BORRAS 11;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
14/07/2021;ARGANZUELA;CL TOMAS BORRAS 11;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
23/06/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
23/06/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
